player,matches_played,wins,cb_opportunities,cb_successes,avg_rank,best_rank,win_rate,comeback_rate,ace_rate,df_rate,first_serve_in,first_serve_won,second_serve_won,srv_pts_won,bp_save_rate,ret_pts_won,bp_conv_rate,clutch_index,serve_style_score
Aslan Karatsev,162,78,85,18,61.388888888888886,14.0,0.48148148148148145,0.21176470588235294,0.061362257281553395,0.05370145631067961,0.5970115291262136,0.7119806886037352,0.505175983436853,0.6286407766990292,0.612280701754386,0.3711763810683305,0.38018628281117695,-0.09654216268189067,0.3031892912032796
Ben Shelton,204,122,100,34,26.215686274509803,5.0,0.5980392156862745,0.34,0.11727344901894068,0.040943631620732675,0.6569694907564931,0.7580492015537332,0.5438915523226979,0.684586594079619,0.6948109058927001,0.3261007194244604,0.3830357142857143,1.288724669274366,0.5742123626639579
Benjamin Becker,363,146,208,29,77.17355371900827,38.0,0.4022038567493113,0.13942307692307693,0.10137125813843524,0.03840977703415415,0.5663623467791802,0.7457452957420846,0.4963932226136554,0.6376168479249263,0.5903284671532847,0.33798126189430533,0.3769152196118488,-0.5130921806783795,0.3172002919494189
Benjamin Bonzi,138,61,71,12,78.65942028985508,42.0,0.4420289855072464,0.16901408450704225,0.07462298491939677,0.027387762177153753,0.6207314959265037,0.7162803686121195,0.5171389396709324,0.640752296758537,0.6278586278586279,0.35747826086956525,0.3755506607929515,0.0659519882431247,0.3907067288902264
Benoit Paire,519,234,295,54,52.0,18.0,0.4508670520231214,0.18305084745762712,0.10119825217352132,0.06290823910986981,0.5196630478850399,0.7438886962552012,0.452639969989684,0.6039911707734583,0.5938231165184839,0.3781585959753745,0.3982142857142857,-0.04924057958586622,0.20257949314971824
Bernard Tomic,355,185,170,36,73.79718309859155,17.0,0.5211267605633803,0.21176470588235294,0.0939562706270627,0.02073019801980198,0.6639507700770076,0.7118003417387252,0.5003580562659846,0.6407453245324533,0.6375266524520256,0.3403496125428005,0.3638968481375358,-0.0011223995954675603,0.5394295985769653
Bjorn Phau,205,72,120,13,114.29756097560976,59.0,0.35121951219512193,0.10833333333333334,0.05027287319422151,0.04770465489566613,0.5284109149277688,0.6825030376670717,0.49081007488087136,0.5921027287319423,0.5596502186133666,0.370164332757849,0.4041411042944785,-0.4868638634200403,0.11071398147569951
Blaz Kavcic,141,54,81,12,122.69503546099291,71.0,0.3829787234042553,0.14814814814814814,0.05150571131879543,0.04641744548286604,0.6285565939771547,0.6565339501073848,0.4615599664523344,0.5841121495327103,0.5446601941747573,0.3779802903465084,0.4142512077294686,-0.5351384279418866,0.35843273146141236
Bobby Reynolds,100,27,68,8,136.53,63.0,0.27,0.11764705882352941,0.10102878279967634,0.04207606057103225,0.5879089122644781,0.7015336217066457,0.48723702664796636,0.6132239047508958,0.5917375455650061,0.33035282745287575,0.32656514382402707,-1.4536899204274105,0.36914587732171183
Bohdan Ulihrach,187,85,104,18,85.20855614973262,32.0,0.45454545454545453,0.17307692307692307,0.04318667551035448,0.04679784803596433,0.600560100228462,0.6761565836298933,0.48579335793357936,0.6001179158375709,0.5787518573551264,0.3786257288360765,0.39538583929992044,-0.34637064500992465,0.27144499336355477
Borna Coric,412,216,205,50,53.78398058252427,12.0,0.5242718446601942,0.24390243902439024,0.07554640975275154,0.0282792379883391,0.6189941695507124,0.7228126731476351,0.5238134206219313,0.6469927976802918,0.6200392927308448,0.35701488849076424,0.3796260969095765,0.017842785196842015,0.38851068952396145
Botic Van De Zandschulp,233,116,116,20,64.45064377682404,22.0,0.4978540772532189,0.1724137931034483,0.07409797279131043,0.05059955906866699,0.6276281120610852,0.71684372858122,0.4735018050541516,0.6262300371027585,0.6098003629764065,0.37432703473028606,0.3853211009174312,-0.03829470197522502,0.40640956444627674
Brandon Nakashima,255,136,111,16,60.98823529411764,29.0,0.5333333333333333,0.14414414414414414,0.10341757752608932,0.01834907760027697,0.6499332311192443,0.7488775587854806,0.5361684091551285,0.67441515406301,0.6349574632637278,0.3479499686096489,0.3571893298633702,-0.1708800327411807,0.526182999704749
